Id,iterations,k,poids,metric,accuracy,f_score,precision,temps
1,3,2,0,0,0.19256434699714017,0.22977797193943802,0.3863933593422439,18.69
2,3,2,0,1,0.21353670162059105,0.245730383886557,0.37517568644510696,153.43333333333334
3,3,2,0,2,0.16110581506196378,0.19837435826842978,0.4081084217675049,153.65
4,3,2,1,0,0.25738798856053385,0.2841588795633283,0.3611370650083237,19.543333333333333
5,3,2,1,1,0.29933269780743565,0.32572340801379696,0.3999539297424995,153.69
6,3,2,1,2,0.25643469971401334,0.30180704699647865,0.42230606591477177,153.31
7,3,50,0,0,0.3918017159199237,0.317802222584897,0.4144508957517663,19.243333333333332
8,3,50,0,1,0.43755958055290756,0.35425506594317396,0.4814775783110328,153.87
9,3,50,0,2,0.2974261201143947,0.2612181852449302,0.3731982674001169,154.02
10,3,50,1,0,0.4013346043851287,0.3219797900963579,0.42005609133133365,19.55666666666667
11,3,50,1,1,0.43755958055290756,0.3508251353102825,0.4796089548098334,153.99666666666667
12,3,50,1,2,0.30791229742612014,0.2637325702872158,0.3742145620579398,154.00666666666666
13,3,100,0,0,0.41754051477597715,0.30946894926915786,0.4450073861708684,19.826666666666664
14,3,100,0,1,0.4261201143946616,0.30285856145131623,0.4445585124632509,154.52333333333334
15,3,100,0,2,0.32221163012392756,0.25159807341898316,0.33327654136794777,154.56333333333333
16,3,100,1,0,0.4204003813155386,0.31092365239626363,0.455362434239442,20.466666666666665
17,3,100,1,1,0.42802669208770255,0.3038444123977745,0.45172522569600626,155.26666666666668
18,3,100,1,2,0.3279313632030505,0.2509139944940783,0.3321431893938258,154.13333333333333
19,3,150,0,0,0.41372735938989513,0.283836726446561,0.4453639238525174,19.853333333333335
20,3,150,0,1,0.4356530028598666,0.2954911922296219,0.5051527364192715,154.66
21,3,150,0,2,0.3393708293612965,0.25582488577404505,0.4036028753828365,154.68333333333334
22,3,150,1,0,0.41372735938989513,0.28209632306872223,0.43600991410834977,19.843333333333334
23,3,150,1,1,0.43660629170638704,0.29608302198101416,0.5056038002130747,154.74
24,3,150,1,2,0.3422306959008579,0.25671065125441045,0.421442523302438,154.63666666666668
25,3,200,0,0,0.4184938036224976,0.2787857861914464,0.4284737590554859,20.033333333333335
26,3,200,0,1,0.43755958055290756,0.2922552833443184,0.5155003988100005,155.04999999999998
27,3,200,0,2,0.34699714013346045,0.24196492795159427,0.4580042875722324,154.95000000000002
28,3,200,1,0,0.41754051477597715,0.27801620051821935,0.42810499348483316,19.916666666666668
29,3,200,1,1,0.43660629170638704,0.2901401368577615,0.5011079932792719,154.88333333333333
30,3,200,1,2,0.3489037178265015,0.24235822182657427,0.4433078635546057,154.76666666666668
31,3,250,0,0,0.42326024785510014,0.2787873362514181,0.4132811483134243,20.233333333333334
32,3,250,0,1,0.43660629170638704,0.284088994397136,0.4847637349612019,155.21666666666667
33,3,250,0,2,0.3431839847473784,0.2353945667772798,0.4349631063771319,155.00666666666666
34,3,250,1,0,0.42326024785510014,0.2787902238850444,0.4133464041590296,19.653333333333332
35,3,250,1,1,0.43946615824594853,0.28877200565367483,0.5388976022164244,153.68
36,3,250,1,2,0.34604385128693993,0.23669639877126866,0.4357300786179496,153.91333333333333
37,3,300,0,0,0.4223069590085797,0.2734192120336058,0.39767134859844405,19.72
38,3,300,0,1,0.440419447092469,0.28653483107929795,0.48660043336484543,154.51666666666668
39,3,300,0,2,0.3431839847473784,0.22943008473819296,0.4241515110247236,154.20333333333335
40,3,300,1,0,0.42326024785510014,0.2754738891885688,0.4313636201002758,19.400000000000002
41,3,300,1,1,0.44137273593898946,0.28713772087032025,0.487070577033661,154.13
42,3,300,1,2,0.34604385128693993,0.23071375265840532,0.44537788716718635,154.19333333333333
43,3,350,0,0,0.4223069590085797,0.27239481501359425,0.5469351740049946,19.686666666666667
44,3,350,0,1,0.440419447092469,0.2820080724599781,0.2075554361523916,154.54999999999998
45,3,350,0,2,0.3612964728312679,0.23901959426117855,0.5370046077327253,154.56
46,3,350,1,0,0.42326024785510014,0.2728878923161148,0.664235151508034,19.69
47,3,350,1,1,0.440419447092469,0.2820080724599781,0.2075554361523916,154.47333333333333
48,3,350,1,2,0.36034318398474746,0.2344948040465028,0.5126560847118179,154.56
49,3,400,0,0,0.42326024785510014,0.26985817420990893,0.6641994721835763,20.863333333333333
50,3,400,0,1,0.44232602478551003,0.2847266750461665,0.4413885726987156,154.88333333333333
51,3,400,0,2,0.3574833174451859,0.23356523275601604,0.44237433977976764,154.79333333333332
52,3,400,1,0,0.4223069590085797,0.2690687210010761,0.6636859239042748,19.863333333333333
53,3,400,1,1,0.4432793136320305,0.2854111510533228,0.4419443879515835,154.98
54,3,400,1,2,0.3612964728312679,0.23526939786819379,0.47446486574693786,154.85999999999999
55,3,450,0,0,0.4223069590085797,0.26915754309343654,0.6643521912958947,20.043333333333333
56,3,450,0,1,0.44232602478551003,0.28324691093076887,0.208554333880459,155.20333333333335
57,3,450,0,2,0.36320305052430885,0.23304100765169636,0.4752515041361562,155.34333333333333
58,3,450,1,0,0.42326024785510014,0.26978413957600267,0.6650376969497352,19.84
59,3,450,1,1,0.444232602478551,0.2845312895027835,0.20954794576553828,155.29999999999998
60,3,450,1,2,0.36320305052430885,0.23237078399309344,0.430186743220817,155.85
61,3,500,0,0,0.4213536701620591,0.26853846843217843,0.6636896513327133,20.023333333333333
62,3,500,0,1,0.44232602478551003,0.2833145630365423,0.20885262735592167,155.75
63,3,500,0,2,0.3651096282173499,0.23501391410324288,0.5528865083032084,155.59
64,3,500,1,0,0.42326024785510014,0.26975952666314607,0.6649000165303021,20.023333333333333
65,3,500,1,1,0.4432793136320305,0.28397930717628134,0.20933190676735336,155.77333333333334
66,3,500,1,2,0.36606291706387034,0.23404045625619696,0.5379140081211963,155.59333333333333
67,3,550,0,0,0.4223069590085797,0.26923269600321625,0.6647667279706915,20.093333333333334
68,3,550,0,1,0.44518589132507147,0.2849928889780813,0.21000982379137842,155.96666666666667
69,3,550,0,2,0.36606291706387034,0.23496544965251334,0.6303656042917372,155.99333333333334
70,3,550,1,0,0.42326024785510014,0.2698405247739553,0.6653328144382351,21.376666666666665
71,3,550,1,1,0.44518589132507147,0.2849928889780813,0.21000982379137842,156.03
72,3,550,1,2,0.3651096282173499,0.23420652066790482,0.6297352036029092,156.01333333333335
73,3,600,0,0,0.42326024785510014,0.2701168098833807,0.666593869909218,20.223333333333333
74,3,600,0,1,0.440419447092469,0.28169112388243067,0.20757594102467306,156.35333333333332
75,3,600,0,2,0.3593898951382269,0.22927843823499763,0.627430751234228,156.21333333333334
76,3,600,1,0,0.42326024785510014,0.2701168098833807,0.666593869909218,20.213333333333335
77,3,600,1,1,0.440419447092469,0.2817346883322265,0.20770005095293678,156.25
78,3,600,1,2,0.3565300285986654,0.22789335424347343,0.6265257930950472,155.99
79,3,650,0,0,0.4213536701620591,0.2687523750192396,0.6648277976352986,20.44
80,3,650,0,1,0.44232602478551003,0.28306211614693866,0.20861307561349862,156.80333333333334
81,3,650,0,2,0.3565300285986654,0.22565333462500847,0.5094610938050449,156.78
82,3,650,1,0,0.4213536701620591,0.2687523750192396,0.6648277976352986,21.19666666666667
83,3,650,1,1,0.44232602478551003,0.28306211614693866,0.20861307561349862,156.71
84,3,650,1,2,0.35843660629170637,0.22655081424905146,0.6265572708328384,156.45666666666668
85,3,700,0,0,0.42326024785510014,0.27040054956044557,0.4333066404529488,20.233333333333334
86,3,700,0,1,0.44137273593898946,0.28238906750220466,0.20812643176703002,156.73
87,3,700,0,2,0.36034318398474746,0.2271452379860932,0.6269057784838358,156.77333333333334
88,3,700,1,0,0.4242135367016206,0.2710683460221289,0.4341035325817287,20.436666666666667
89,3,700,1,1,0.44137273593898946,0.28236727449880816,0.20806643445675257,156.92666666666665
90,3,700,1,2,0.3622497616777884,0.22769825159211196,0.6271868924387485,160.08
91,3,750,0,0,0.4223069590085797,0.2676506136152027,0.19946131177746854,21.52
92,3,750,0,1,0.440419447092469,0.28167243285067767,0.20751979330000658,159.50333333333333
93,3,750,0,2,0.36320305052430885,0.2268404405128611,0.4726145557396108,158.92666666666665
94,3,750,1,0,0.4223069590085797,0.2676900940923556,0.1996480730638102,21.38
95,3,750,1,1,0.440419447092469,0.28165577178600293,0.20746748781762395,158.70666666666668
96,3,750,1,2,0.36320305052430885,0.22672436164931617,0.47251606449420996,158.62333333333333
97,3,800,0,0,0.4213536701620591,0.26684389817477866,0.19901126414256623,21.506666666666664
98,3,800,0,1,0.43946615824594853,0.2810955893793732,0.20714291455855793,158.93
99,3,800,0,2,0.36320305052430885,0.2269572042738783,0.4727146066516896,158.59333333333333
100,3,800,1,0,0.4213536701620591,0.2668835737261807,0.19920537389513684,21.22
101,3,800,1,1,0.440419447092469,0.28179353299914706,0.20769340530091485,158.60999999999999
102,3,800,1,2,0.3651096282173499,0.2278527183631458,0.628673174128135,158.56666666666666
103,3,850,0,0,0.4194470924690181,0.26516348877573875,0.1979008312348943,22.80333333333333
104,3,850,0,1,0.440419447092469,0.2818442868712438,0.20782633213614154,160.84333333333333
105,3,850,0,2,0.36415633937082936,0.22595390677068747,0.39559405115387375,160.98
106,3,850,1,0,0.4194470924690181,0.26516348877573875,0.1979008312348943,19.003333333333334
107,3,850,1,1,0.440419447092469,0.2818442868712438,0.20782633213614154,154.06666666666666
108,3,850,1,2,0.36415633937082936,0.22595390677068747,0.39559405115387375,154.74666666666667
109,3,900,0,0,0.4194470924690181,0.2652830711608621,0.19852970683775303,19.88
110,3,900,0,1,0.444232602478551,0.2844828983615264,0.2097779039941007,158.86333333333332
111,3,900,0,2,0.3622497616777884,0.22486840095434754,0.6278714209517852,175.76333333333332
112,3,900,1,0,0.4194470924690181,0.26524054148132725,0.19831117026024428,30.333333333333332
113,3,900,1,1,0.444232602478551,0.28445179944319965,0.20970635792699063,162.86666666666667
114,3,900,1,2,0.36415633937082936,0.2259151500871506,0.6286079783938441,173.07333333333335
115,3,950,0,0,0.4184938036224976,0.2644032413709247,0.19785904451102834,30.08
116,3,950,0,1,0.44137273593898946,0.28256498509471567,0.2082927079297006,192.83
117,3,950,0,2,0.3612964728312679,0.22304202790351813,0.16175377892394519,159.76666666666668
118,3,950,1,0,0.4184938036224976,0.26436342780304234,0.19764141495804075,23.213333333333335
119,3,950,1,1,0.44137273593898946,0.28256498509471567,0.2082927079297006,157.91
120,3,950,1,2,0.36320305052430885,0.22385267818186905,0.16228429751730508,157.41
121,3,1000,0,0,0.4204003813155386,0.2662534114399112,0.1996560487734348,22.123333333333335
122,3,1000,0,1,0.44137273593898946,0.2825938857356374,0.2083613603195135,157.16666666666666
123,3,1000,0,2,0.3651096282173499,0.22626252698364122,0.6288268837971697,156.94666666666666
124,3,1000,1,0,0.4204003813155386,0.2662534114399112,0.1996560487734348,21.596666666666668
125,3,1000,1,1,0.44137273593898946,0.28253819540174907,0.2082280560690675,157.06333333333333
126,3,1000,1,2,0.3670162059103908,0.226960494991986,0.6292787692506553,157.01666666666668
